h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 6 51;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 6 51;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 6 51;0 0 -10;0 0 0;255 255;0 0;23 61.5
0 6 53;0 0 -10;0 0 0;255 255;0 0;23 61.45
0 6 53;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 6 53;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 6 53;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 6 53;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 6 55;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 6 55;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 6 55;0 0 -10;0 0 0;255 255;0 0;23 61.16
0 6 55;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 6 57;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 6 57;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 6 57;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 6 57;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 6 59;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 6 59;0 0 -10;0 0 0;255 255;0 0;23 61.4
0 6 59;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 6 59;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 1;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 1;0 0 -10;0 0 0;255 255;0 0;23 62.0
0 7 1;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 1;0 0 -10;0 0 0;255 255;0 0;23 61.95
0 7 1;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 3;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 3;0 0 -10;0 0 0;255 255;0 0;23 62.0
0 7 3;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 3;0 0 -10;0 0 0;255 255;0 0;23 61.95
0 7 5;0 0 -10;0 0 0;255 255;0 0;23 61.95
0 7 5;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 5;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 7 5;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 7 7;0 0 -10;0 0 0;255 255;0 0;23 61.25
0 7 7;0 0 -10;0 0 0;255 255;0 0;23 61.21
0 7 7;0 0 -10;0 0 0;255 255;0 0;23 61.15
0 7 9;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 7 9;0 0 -10;0 0 0;255 255;0 0;23 61.25
0 7 9;0 0 -10;0 0 0;255 255;0 0;23 61.1
0 7 9;0 0 -10;0 0 0;255 255;0 0;23 61.4
0 7 9;0 0 -10;0 0 0;255 255;0 0;23 61.25
0 7 11;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 7 11;0 0 -10;0 0 0;255 255;0 0;23 61.25
0 7 11;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 7 11;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 7 13;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 13;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 13;0 0 -10;0 0 0;255 255;0 0;23 61.4
0 7 13;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 7 15;0 0 -10;0 0 0;255 255;0 0;23 61.5
0 7 15;0 0 -10;0 0 0;255 255;0 0;23 61.2
0 7 15;0 0 -10;0 0 0;255 255;0 0;23 61.25
0 7 15;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 15;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 7 17;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 17;0 0 -10;0 0 0;255 255;0 0;23 61.5
0 7 17;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 7 17;0 0 -10;0 0 0;255 255;0 0;23 61.45
0 7 19;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 19;0 0 -10;0 0 0;255 255;0 0;23 61.5
0 7 19;0 0 -10;0 0 0;255 255;0 0;23 61.4
0 7 21;0 0 -10;0 0 0;255 255;0 0;23 61.5
0 7 21;0 0 -10;0 0 0;255 255;0 0;23 61.45
0 7 21;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 7 23;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 23;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 7 23;0 0 -10;0 0 0;255 255;0 0;23 61.5
0 7 23;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 7 25;0 0 -10;0 0 0;255 255;0 0;23 61.45
0 7 25;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 25;0 0 -10;0 0 0;255 255;0 0;23 61.2
0 7 25;0 0 -10;0 0 0;255 255;0 0;23 61.15
0 7 27;0 0 -10;0 0 0;255 255;0 0;23 61.4
0 7 27;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 27;0 0 -10;0 0 0;255 255;0 0;23 61.1
0 7 27;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 7 29;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 29;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 7 29;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 31;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 31;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 31;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 33;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 33;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 33;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 33;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 35;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 35;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 35;0 0 -10;0 0 0;255 255;0 0;23 61.45
0 7 35;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 38;0 0 -10;0 0 0;255 255;0 0;23 61.45
0 7 38;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 38;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 38;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 40;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 40;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 40;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 40;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 40;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 42;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 42;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 42;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 42;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 44;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 44;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 44;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 46;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 46;0 0 -10;0 0 0;255 255;0 0;23 61.95
0 7 46;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 48;0 0 -10;0 0 0;255 255;0 0;23 61.95
0 7 48;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 7 48;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 50;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 50;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 50;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 50;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 52;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 52;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 7 52;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 7 52;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 54;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 54;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 7 54;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 54;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 7 56;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 56;0 0 -10;0 0 0;255 255;0 0;23 62.05
0 7 56;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 7 56;0 0 -10;0 0 0;255 255;0 0;23 62.0
0 7 58;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 7 58;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 7 58;0 0 -10;0 0 0;255 255;0 0;23 61.95
0 7 58;0 0 -10;0 0 0;255 255;0 0;23 62.2
0 7 58;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 8 0;0 0 -10;0 0 0;255 255;0 0;23 61.7
0 8 0;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 8 0;0 0 -10;0 0 0;255 255;0 0;23 62.3
0 8 0;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 8 2;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 8 2;0 0 -10;0 0 0;255 255;0 0;23 62.1
0 8 2;0 0 -10;0 0 0;255 255;0 0;23 62.4
0 8 2;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 8 4;0 0 -10;0 0 0;255 255;0 0;23 62.35
0 8 4;0 0 -10;0 0 0;255 255;0 0;23 62.2
0 8 4;0 0 -10;0 0 0;255 255;0 0;23 62.3
0 8 6;0 0 -10;0 0 0;255 255;0 0;23 62.35
0 8 6;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 8 8;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 8 8;0 0 -10;0 0 0;255 255;0 0;23 62.6
0 8 8;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 8 8;0 0 -10;0 0 0;255 255;0 0;23 62.45
0 8 10;0 0 -10;0 0 0;255 255;0 0;23 62.24
0 8 10;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 8 10;0 0 -10;0 0 0;255 255;0 0;23 62.45
0 8 10;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 8 12;0 0 -10;0 0 0;255 255;0 0;23 62.45
0 8 12;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 8 12;0 0 -10;0 0 0;255 255;0 0;23 62.2
0 8 14;0 0 -10;0 0 0;255 255;0 0;23 62.4
0 8 14;0 0 -10;0 0 0;255 255;0 0;23 62.3
0 8 14;0 0 -10;0 0 0;255 255;0 0;23 62.45
0 8 14;0 0 -10;0 0 0;255 255;0 0;23 62.7
0 8 16;0 0 -10;0 0 0;255 255;0 0;23 62.35
0 8 16;0 0 -10;0 0 0;255 255;0 0;23 62.1
0 8 16;0 0 -10;0 0 0;255 255;0 0;23 62.35
0 8 16;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 8 18;0 0 -10;0 0 0;255 255;0 0;24 62.3
0 8 18;0 0 -10;0 0 0;255 255;0 0;24 62.2
0 8 18;0 0 -10;0 0 0;255 255;0 0;24 62.45
0 0 3;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 0 3;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 0 3;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 0 3;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 0 5;0 0 -10;0 0 0;255 255;0 0;23 62.05
0 0 5;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 0 5;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 0 7;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 0 7;0 0 -10;0 0 0;255 255;0 0;23 62.3
0 0 7;0 0 -10;0 0 0;255 255;0 0;23 62.05
0 0 9;0 0 -10;0 0 0;255 255;0 0;24 62.2
0 0 9;0 0 -10;0 0 0;255 255;0 0;24 62.0
0 0 9;0 0 -10;0 0 0;255 255;0 0;24 62.15
0 0 11;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 0 11;0 0 -10;0 0 0;255 255;0 0;23 62.44
0 0 11;0 0 -10;0 0 0;255 255;0 0;23 62.74
0 0 11;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 0 13;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 0 13;0 0 -10;0 0 0;255 255;0 0;23 62.45
0 0 13;0 0 -10;0 0 0;255 255;0 0;23 62.55
0 0 13;0 0 -10;0 0 0;255 255;0 0;23 63.0
0 0 15;0 0 -10;0 0 0;255 255;0 0;23 62.6
0 0 15;0 0 -10;0 0 0;255 255;0 0;23 62.68
0 0 15;0 0 -10;0 0 0;255 255;0 0;23 62.64
0 0 17;0 0 -10;0 0 0;255 255;0 0;23 62.65
0 0 17;0 0 -10;0 0 0;255 255;0 0;23 62.45
0 0 17;0 0 -10;0 0 0;255 255;0 0;23 62.4
0 0 19;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 0 19;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 19;0 0 -10;0 0 0;255 255;0 0;23 62.35
0 0 19;0 0 -10;0 0 0;255 255;0 0;23 62.2
0 0 19;0 0 -10;0 0 0;255 255;0 0;23 62.9
0 0 21;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 21;0 0 -10;0 0 0;255 255;0 0;23 62.3
0 0 21;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 0 23;0 0 -10;0 0 0;255 255;0 0;23 62.15
0 0 23;0 0 -10;0 0 0;255 255;0 0;23 62.33
0 0 23;0 0 -10;0 0 0;255 255;0 0;23 62.25
0 0 23;0 0 -10;0 0 0;255 255;0 0;23 62.64
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 63.27
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 62.98
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 62.35
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 62.8
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 62.45
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 62.99
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 62.94
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.7
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.74
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.7
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.6
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 62.54
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 62.8
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 62.85
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 62.54
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 62.35
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 62.84
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 62.69
0 0 37;0 0 -10;0 0 0;255 255;0 0;24 62.55
0 0 37;0 0 -10;0 0 0;255 255;0 0;24 62.25
0 0 37;0 0 -10;0 0 0;255 255;0 0;24 63.02
0 0 37;0 0 -10;0 0 0;255 255;0 0;24 62.73
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 62.8
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 62.4
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 62.74
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 62.59
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 62.54
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 62.9
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 62.4
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 62.95
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 62.69
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 62.98
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 62.5
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 62.9
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 62.79
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 63.0
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 62.75
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 62.78
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 63.46
0 0 49;0 0 -10;0 0 0;255 255;0 0;24 63.17
0 0 49;0 0 -10;0 0 0;255 255;0 0;24 63.35
0 0 49;0 0 -10;0 0 0;255 255;0 0;24 63.37
0 0 49;0 0 -10;0 0 0;255 255;0 0;24 63.54
0 0 49;0 0 -10;0 0 0;255 255;0 0;24 63.41
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 62.99
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 63.28
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 63.36
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 63.32
0 0 54;0 0 -10;0 0 0;255 255;0 0;24 63.35
0 0 54;0 0 -10;0 0 0;255 255;0 0;24 63.04
0 0 58;0 0 -10;0 0 0;255 255;0 0;24 63.4
0 1 2;0 0 -10;0 0 0;255 255;0 0;24 63.76
0 1 16;0 0 -10;0 0 0;255 255;0 0;24 63.67
0 1 22;0 0 -10;0 0 0;255 255;0 0;23 65.15
0 1 22;0 0 -10;0 0 0;255 255;0 0;23 64.7
0 1 22;0 0 -10;0 0 0;255 255;0 0;23 64.3
0 1 24;0 0 -10;0 0 0;255 255;0 0;24 63.93
0 1 24;0 0 -10;0 0 0;255 255;0 0;24 63.91
0 1 24;0 0 -10;0 0 0;255 255;0 0;24 63.93
0 1 24;0 0 -10;0 0 0;255 255;0 0;24 64.01
0 1 26;0 0 -10;0 0 0;255 255;0 0;24 63.73
0 1 26;0 0 -10;0 0 0;255 255;0 0;24 64.21
0 1 26;0 0 -10;0 0 0;255 255;0 0;24 64.11
0 1 26;0 0 -10;0 0 0;255 255;0 0;24 64.25
0 1 28;0 0 -10;0 0 0;255 255;0 0;24 63.87
0 1 28;0 0 -10;0 0 0;255 255;0 0;24 63.88
0 1 28;0 0 -10;0 0 0;255 255;0 0;24 64.31
0 1 28;0 0 -10;0 0 0;255 255;0 0;24 64.41
0 1 30;0 0 -10;0 0 0;255 255;0 0;23 64.4
0 1 30;0 0 -10;0 0 0;255 255;0 0;23 64.71
0 1 30;0 0 -10;0 0 0;255 255;0 0;23 64.7
0 1 32;0 0 -10;0 0 0;255 255;0 0;24 64.31
0 1 32;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 1 32;0 0 -10;0 0 0;255 255;0 0;24 64.4
0 1 32;0 0 -10;0 0 0;255 255;0 0;24 64.31
0 1 34;0 0 -10;0 0 0;255 255;0 0;24 64.27
0 1 34;0 0 -10;0 0 0;255 255;0 0;24 64.5
0 1 34;0 0 -10;0 0 0;255 255;0 0;24 63.92
0 1 34;0 0 -10;0 0 0;255 255;0 0;24 64.11
0 1 36;0 0 -10;0 0 0;255 255;0 0;24 64.06
0 1 36;0 0 -10;0 0 0;255 255;0 0;24 64.3
0 1 36;0 0 -10;0 0 0;255 255;0 0;24 63.72
0 1 36;0 0 -10;0 0 0;255 255;0 0;24 63.68
0 1 38;0 0 -10;0 0 0;255 255;0 0;24 63.49
0 1 38;0 0 -10;0 0 0;255 255;0 0;24 63.68
0 1 38;0 0 -10;0 0 0;255 255;0 0;24 63.87
0 1 38;0 0 -10;0 0 0;255 255;0 0;24 64.21
0 1 40;0 0 -10;0 0 0;255 255;0 0;24 64.06
0 1 40;0 0 -10;0 0 0;255 255;0 0;24 63.53
0 1 40;0 0 -10;0 0 0;255 255;0 0;24 63.96
0 1 40;0 0 -10;0 0 0;255 255;0 0;24 64.02
0 1 42;0 0 -10;0 0 0;255 255;0 0;24 63.82
0 1 42;0 0 -10;0 0 0;255 255;0 0;24 63.97
0 1 42;0 0 -10;0 0 0;255 255;0 0;24 64.2
0 1 42;0 0 -10;0 0 0;255 255;0 0;24 64.16
0 1 44;0 0 -10;0 0 0;255 255;0 0;23 64.11
0 1 44;0 0 -10;0 0 0;255 255;0 0;23 63.64
0 1 44;0 0 -10;0 0 0;255 255;0 0;23 64.31
0 1 46;0 0 -10;0 0 0;255 255;0 0;24 64.16
0 1 46;0 0 -10;0 0 0;255 255;0 0;24 63.92
0 1 46;0 0 -10;0 0 0;255 255;0 0;24 63.97
0 1 46;0 0 -10;0 0 0;255 255;0 0;24 64.31
0 1 48;0 0 -10;0 0 0;255 255;0 0;24 64.35
0 1 48;0 0 -10;0 0 0;255 255;0 0;24 64.05
0 1 48;0 0 -10;0 0 0;255 255;0 0;24 63.88
0 1 50;0 0 -10;0 0 0;255 255;0 0;24 64.01
0 1 50;0 0 -10;0 0 0;255 255;0 0;24 63.82
0 1 50;0 0 -10;0 0 0;255 255;0 0;24 64.21
0 1 50;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 1 52;0 0 -10;0 0 0;255 255;0 0;24 63.87
0 1 52;0 0 -10;0 0 0;255 255;0 0;24 64.16
0 1 52;0 0 -10;0 0 0;255 255;0 0;24 64.21
0 1 52;0 0 -10;0 0 0;255 255;0 0;24 64.36
0 1 54;0 0 -10;0 0 0;255 255;0 0;24 64.03
0 1 54;0 0 -10;0 0 0;255 255;0 0;24 64.55
0 1 54;0 0 -10;0 0 0;255 255;0 0;24 64.05
0 1 56;0 0 -10;0 0 0;255 255;0 0;24 64.45
0 1 56;0 0 -10;0 0 0;255 255;0 0;24 64.35
0 1 58;0 0 -10;0 0 0;255 255;0 0;24 64.46
0 1 58;0 0 -10;0 0 0;255 255;0 0;24 64.31
0 1 58;0 0 -10;0 0 0;255 255;0 0;24 64.45
0 2 1;0 0 -10;0 0 0;255 255;0 0;24 63.97
0 2 1;0 0 -10;0 0 0;255 255;0 0;24 64.35
0 2 1;0 0 -10;0 0 0;255 255;0 0;24 64.36
0 2 1;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 3;0 0 -10;0 0 0;255 255;0 0;24 63.97
0 2 3;0 0 -10;0 0 0;255 255;0 0;24 64.21
0 2 3;0 0 -10;0 0 0;255 255;0 0;24 64.31
0 2 3;0 0 -10;0 0 0;255 255;0 0;24 63.74
0 2 5;0 0 -10;0 0 0;255 255;0 0;24 64.4
0 2 5;0 0 -10;0 0 0;255 255;0 0;24 64.26
0 2 5;0 0 -10;0 0 0;255 255;0 0;24 64.4
0 2 5;0 0 -10;0 0 0;255 255;0 0;24 63.91
0 2 5;0 0 -10;0 0 0;255 255;0 0;24 63.77
0 2 7;0 0 -10;0 0 0;255 255;0 0;24 64.0
0 2 7;0 0 -10;0 0 0;255 255;0 0;24 64.21
0 2 7;0 0 -10;0 0 0;255 255;0 0;24 64.15
0 2 7;0 0 -10;0 0 0;255 255;0 0;24 64.3
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 63.91
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 64.4
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 64.06
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 63.83
0 2 11;0 0 -10;0 0 0;255 255;0 0;24 64.11
0 2 11;0 0 -10;0 0 0;255 255;0 0;24 63.87
0 2 11;0 0 -10;0 0 0;255 255;0 0;24 64.17
0 2 11;0 0 -10;0 0 0;255 255;0 0;24 64.06
0 2 13;0 0 -10;0 0 0;255 255;0 0;24 64.16
0 2 13;0 0 -10;0 0 0;255 255;0 0;24 64.26
0 2 13;0 0 -10;0 0 0;255 255;0 0;24 64.25
0 2 13;0 0 -10;0 0 0;255 255;0 0;24 64.15
0 2 15;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 15;0 0 -10;0 0 0;255 255;0 0;24 64.55
0 2 15;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 2 15;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 17;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 17;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 17;0 0 -10;0 0 0;255 255;0 0;24 65.11
0 2 17;0 0 -10;0 0 0;255 255;0 0;24 65.05
0 2 19;0 0 -10;0 0 0;255 70;0 1;24 64.2
0 2 19;0 0 -10;0 0 0;255 70;0 1;24 64.55
0 2 19;0 0 -10;0 0 0;255 70;0 1;24 64.6
0 2 19;0 0 -10;0 0 0;255 70;0 1;24 64.46
0 2 21;0 0 -10;0 0 0;255 47;0 1;24 64.35
0 2 21;0 0 -10;0 0 0;255 47;0 1;24 64.6
0 2 21;0 0 -10;0 0 0;255 47;0 1;24 64.45
0 2 21;0 0 -10;0 0 0;255 47;0 1;24 64.55
0 2 23;0 0 -10;0 0 0;255 52;0 1;24 64.6
0 2 23;0 0 -10;0 0 0;255 52;0 1;24 64.65
0 2 23;0 0 -10;0 0 0;255 52;0 1;24 64.4
0 2 23;0 0 -10;0 0 0;255 52;0 1;24 64.5
0 2 25;0 0 -10;0 0 0;255 255;0 0;24 64.4
0 2 25;0 0 -10;0 0 0;255 255;0 0;24 64.35
0 2 25;0 0 -10;0 0 0;255 255;0 0;24 64.75
0 2 27;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 27;0 0 -10;0 0 0;255 255;0 0;24 64.75
0 2 27;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 29;0 0 -10;0 0 0;255 162;0 1;24 64.6
0 2 29;0 0 -10;0 0 0;255 162;0 1;24 64.55
0 2 29;0 0 -10;0 0 0;255 162;0 1;24 64.51
0 2 29;0 0 -10;0 0 0;255 162;0 1;24 64.8
0 2 31;0 0 -10;0 0 0;255 255;0 0;24 64.5
0 2 31;0 0 -10;0 0 0;255 255;0 0;24 64.61
0 2 31;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 2 33;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 2 33;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 33;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 35;0 0 -10;0 0 0;255 255;0 0;24 64.21
0 2 35;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 35;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 2 35;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 35;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 2 37;0 0 -10;0 0 0;255 255;0 0;24 64.2
0 2 37;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 37;0 0 -10;0 0 0;255 255;0 0;24 64.45
0 2 39;0 0 -10;0 0 0;255 255;0 0;24 64.4
0 2 39;0 0 -10;0 0 0;255 255;0 0;24 64.55
0 2 39;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 2 39;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 41;0 0 -10;0 0 0;255 255;0 0;24 64.35
0 2 41;0 0 -10;0 0 0;255 255;0 0;24 64.4
0 2 41;0 0 -10;0 0 0;255 255;0 0;24 64.5
0 2 41;0 0 -10;0 0 0;255 255;0 0;24 64.9
0 2 43;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 43;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 2 43;0 0 -10;0 0 0;255 255;0 0;24 64.95
0 2 45;0 0 -10;0 0 0;255 255;0 0;24 64.35
0 2 45;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 2 45;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 47;0 0 -10;0 0 0;255 255;0 0;24 64.7
