h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 4 15;0 0 -10;0 0 0;255 22;0 1;23 59.54
0 4 15;0 0 -10;0 0 0;255 22;0 1;23 59.55
0 4 17;0 0 -10;0 0 0;255 22;0 1;23 59.2
0 4 17;0 0 -10;0 0 0;255 22;0 1;23 59.38
0 4 17;0 0 -10;0 0 0;255 22;0 1;23 59.1
0 4 17;0 0 -10;0 0 0;255 22;0 1;23 59.39
0 4 17;0 0 -10;0 0 0;255 22;0 1;23 59.45
0 4 19;0 0 -10;0 0 0;255 29;0 1;23 59.55
0 4 19;0 0 -10;0 0 0;255 29;0 1;23 59.54
0 4 19;0 0 -10;0 0 0;255 29;0 1;23 59.44
0 4 19;0 0 -10;0 0 0;255 29;0 1;23 59.57
0 4 21;0 0 -10;0 0 0;255 27;0 1;23 59.55
0 4 21;0 0 -10;0 0 0;255 27;0 1;23 59.3
0 4 21;0 0 -10;0 0 0;255 27;0 1;23 59.48
0 4 23;0 0 -10;0 0 0;255 76;0 1;23 59.58
0 4 23;0 0 -10;0 0 0;255 76;0 1;23 59.49
0 4 23;0 0 -10;0 0 0;255 76;0 1;23 59.4
0 4 23;0 0 -10;0 0 0;255 76;0 1;23 59.44
0 4 25;0 0 -10;0 0 0;255 17;0 1;23 59.49
0 4 25;0 0 -10;0 0 0;255 17;0 1;23 59.68
0 4 25;0 0 -10;0 0 0;255 17;0 1;23 59.58
0 4 25;0 0 -10;0 0 0;255 17;0 1;23 59.69
0 4 27;0 0 -10;0 0 0;255 35;0 1;23 59.62
0 4 27;0 0 -10;0 0 0;255 35;0 1;23 59.73
0 4 27;0 0 -10;0 0 0;255 35;0 1;23 59.74
0 4 27;0 0 -10;0 0 0;255 35;0 1;23 59.68
0 4 29;0 0 -10;0 0 0;255 255;0 0;23 59.34
0 4 29;0 0 -10;0 0 0;255 255;0 0;23 59.59
0 4 29;0 0 -10;0 0 0;255 255;0 0;23 59.77
0 4 29;0 0 -10;0 0 0;255 255;0 0;23 59.54
0 4 29;0 0 -10;0 0 0;255 255;0 0;23 59.64
0 4 31;0 0 -10;0 0 0;255 255;0 0;23 59.54
0 4 31;0 0 -10;0 0 0;255 255;0 0;23 59.53
0 4 31;0 0 -10;0 0 0;255 255;0 0;23 59.68
0 4 31;0 0 -10;0 0 0;255 255;0 0;23 59.9
0 4 33;0 0 -10;0 0 0;255 255;0 0;23 59.87
0 4 33;0 0 -10;0 0 0;255 255;0 0;23 59.77
0 4 33;0 0 -10;0 0 0;255 255;0 0;23 59.59
0 4 33;0 0 -10;0 0 0;255 255;0 0;23 60.01
0 4 35;0 0 -10;0 0 0;255 255;0 0;23 59.63
0 4 35;0 0 -10;0 0 0;255 255;0 0;23 59.97
0 4 35;0 0 -10;0 0 0;255 255;0 0;23 59.83
0 4 35;0 0 -10;0 0 0;255 255;0 0;23 59.64
0 4 37;0 0 -10;0 0 0;255 255;0 0;23 59.87
0 4 37;0 0 -10;0 0 0;255 255;0 0;23 59.54
0 4 37;0 0 -10;0 0 0;255 255;0 0;23 59.78
0 4 37;0 0 -10;0 0 0;255 255;0 0;23 59.58
0 4 39;0 0 -10;0 0 0;255 255;0 0;23 59.63
0 4 39;0 0 -10;0 0 0;255 255;0 0;23 59.4
0 4 39;0 0 -10;0 0 0;255 255;0 0;23 59.91
0 4 39;0 0 -10;0 0 0;255 255;0 0;23 60.27
0 4 41;0 0 -10;0 0 0;255 255;0 0;23 60.33
0 4 41;0 0 -10;0 0 0;255 255;0 0;23 60.47
0 4 41;0 0 -10;0 0 0;255 255;0 0;23 60.25
0 4 41;0 0 -10;0 0 0;255 255;0 0;23 60.34
0 4 43;0 0 -10;0 0 0;255 255;0 0;23 60.33
0 4 43;0 0 -10;0 0 0;255 255;0 0;23 60.29
0 4 43;0 0 -10;0 0 0;255 255;0 0;23 60.43
0 4 43;0 0 -10;0 0 0;255 255;0 0;23 59.96
0 4 45;0 0 -10;0 0 0;255 255;0 0;23 60.51
0 4 45;0 0 -10;0 0 0;255 255;0 0;23 60.38
0 4 45;0 0 -10;0 0 0;255 255;0 0;23 60.05
0 4 45;0 0 -10;0 0 0;255 255;0 0;23 60.18
